input,response
It's …,Go on. Father's watching.
Go on. Father's watching.,And your mother.
"And which one of you was a marksman at ten? Keep practicing, Bran. Go on.","Don't think too much, Bran."
"In the name of Robert of the House Baratheon, first of his name …",Don't look away.
King of the Andals and the First Men …,Father will know if you do.
"Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.",You did well.
A madman sees what he sees.,What is it?
There are no direwolves south of the Wall.,Now there are five.
Now there are five.,You want to hold it?
"I'm sorry, Bran.",Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.
What about you?,I'm not a Stark. Get on.
"In any case, candles.",Why's your mother so dead-set on us getting pretty for the king?
Is he dead yet?,Uncle Benjen!
You got bigger. I rode all day. Didn't want to leave you alone with the Lannisters. Why aren't you at the feast?,Lady Stark thought it might insult the royal family to seat a bastard in their midst.
"Well, you're always welcome on the wall. No bastard was ever refused a seat there.",So take me with you when you go back.
Jon…,"Father will let me if you ask him, I know he will."
The Wall isn't going anywhere.,I'm ready to swear your oath.
You don't understand what you'd be giving up. We have no families. None of us will ever father sons.,I don't care about that.
Your uncle's in the Night's Watch.,What're you doing back there?
Preparing for a night with your family. I've always wanted to see the Wall.,You're Tyrion Lannister. The queen's brother?
"Did I offend you? Sorry. You are the bastard, though.",Lord Eddard Stark is my father.
"And Lady Stark is not your mother. Making you a bastard. Let me give you some advice, bastard. Never forget what you are. The rest of the world will not. Wear it like armor. Then it can never be used to hurt you.",What the hell do you know about being a bastard?
A sword for the wall?,I already have one.
Good man. Have you swung it yet?,Of course I have.
"At someone, I mean. It's a strange thing, the first time you cut a man. You realize we're nothing but sacks of meat and blood and some bone to keep it all standing. Let me thank you ahead of time for guarding us all from the perils beyond the Wall... Wildlings and White Walkers and whatnot. We're grateful to have good, strong men like you protecting us.",We've guarded the Kingdoms for 8 000 years.
Is it we already? Have you taken your vows then?,Soon enough.
"Thank you, Nymeria. Septa Mordane says I have to do it again. My things weren't properly folded, she says. Who cares how they're folded?! They're going to get all messed up anyway.",It's good you've got help.
"Watch. Nymeria, gloves.",Impressive.
"Shut up. Nymeria, gloves!",I have something for you. And it has to be packed very carefully.
A present?,Close the door. This is no toy. Be careful you don't cut yourself.
It's so skinny.,"So are you. I had the blacksmith make it for you special. It won't hack a man's head off, but it can poke him full of holes if you're quick enough."
I can be quick.,You'll have to work at it every day. How does it feel? Do you like the balance?
I think so.,First lesson
I know which end to use.,"I'm going to miss you... Careful... All the best swords have names, you know."
Sansa can keep her sewing needles. I've got a needle of my own.,I came to say goodbye to Bran.
You've said it.,"I wish I could be here when you wake up. I'm going north with Uncle Benjen. I'm taking the black. I know we always talked about seeing the Wall together, but you'll be able to come visit me at Castle Black when you're better. I'll know my way around by then. I'll be a sworn brother of the Night's Watch. We can go out walking beyond the Wall, if you're not afraid."
You've said goodbye to Bran? He's not going to die. I know it.,You Starks are hard to kill.
My mother?,She was very kind.
"Good. Next time I see you, you'll be all in black.",It was always my color.
"Farewell, Snow.","And you, Stark."
"There's great honor serving in the Night's Watch. The Starks have manned the Wall for thousands of years. And you are a Stark. You might not have my name, but you have my blood.","Is my mother alive? Does she know about me? Where I am, where I'm going? Does she care?"
Rapers. They were given a choice no doubt... Castration or the Wall. Most choose the knife. Not impressed by your new brothers? Lovely thing about the Watch... You discard your old family and get a whole new one.,Why do you read so much?
Look at me and tell me what you see.,Is this a trick?
"What you see is a dwarf. If I'd been born a peasant they might've left me out in the woods to die. Alas, I was born a Lannister of Casterly Rock. Things are expected of me. My father was the Hand of the King for 20 years.",Until your brother killed that King.
"Yes, until my brother killed him. Life is full of these little ironies. My sister married the new King and my repulsive nephew will be King after him. I must do my part for the honor of my house, wouldn't you agree? But how? Well, my brother has his sword and I have my mind. And a mind needs books like a sword needs a whetstone. That's why I read so much. And you? What's your story, bastard?","Ask me nicely and maybe I'll tell you, dwarf."
"A bastard boy with nothing to inherit, off to join the ancient order of the Night's Watch, alongside his valiant brothers-in-arms.",The Night's Watch protects the realm from...
"You broke my nose, bastard!",It's an improvement.
"We'll talk later, Lord Snow.",Everybody knew what this place was and no one told me. No one but you. My father knew and left me to rot here at the Wall all the same.
Grenn's father left him too... Outside a farmhouse when he was three. Pyp was caught stealing a wheel of cheese. His little sister hadn't eaten in three days. He was given a choice,They hate me because I'm better than they are.
I wanted to be here when you saw it for the first time. I'm leaving this morning.,You're leaving?
I'm the First Ranger. My job is out there. There have been disturbing reports.,What kind of reports?
The kind I don't want to believe.,m ready. I won't let you down.
"You're not going. You're no ranger, Jon.",But I'm better than every...
Don't worry. I'll catch you. The horde's easy to find.,Don't stand so still. It's harder to hit a moving target. Except for you. You move too much. I could just hold my sword out and let you do the work for me.
I know.,"I'm sorry to see you leave, Lannister."
It's either me or this cold. And it doesn't appear to be going anywhere.,Will you stop at Winterfell on your way South?
I expect I will. Gods know there aren't many feather beds between here and King's Landing.,"If you see my brother Bran, tell him I miss him. Tell him I'd visit if I could."
Of course.,He'll never walk again.
"If you're going to be a cripple, it's better to be a rich cripple. Take care, Snow.","Farewell, My Lord."
"I've offended you. Forgive me, it's been a rough morning. Anyway, don't despair. I'm a constant disappointment to my own father and I've learned to live with it. Your next tumble with Ros is on me. I'll try not to wear her out.","Leg, shoulder, leg. Left foot forward. Good. Now pivot as you deliver the stroke. Put all your weight behind it."
