input,response
Is he dead yet?,Uncle Benjen!
"I'm surprised you didn't ride over and say hello. The King-beyond-the-Wall is your old friend, isn't he?",We need to prepare.
Happy shitting.,My lady. You weren't at the war council.
Your bravery made him look weak. He'll punish you for it. I don't punish men for bravery. I reward them.,"I don't doubt it, Your Grace. But I'm a brother of the Night's Watch. I've pledged them my life, my honor, my sword. I don't know what I have left to give you."
"I'm grateful for your loyalty, but my dragon died so that we could be here. If it's all for nothing, then he died for nothing.",I know!
The dead don't need lovers. Only the living.,I know. But I still love her.
I don't know. Maybe you're only needed for this small part of his plan and nothing else. Maybe he brought you here to die again.,What kind of god would do something like that?
He was.,And you betrayed him. Betrayed his memory.
"Winter is here, Your Grace. We need the King in the North in the north.","You all crowned me your king. I never wanted it, I never asked for it, but I accepted it because the north is my home. It's part of me and I will never stop fighting for it, no matter the odds. But the odds are against us. None of you have seen the Army of the Dead. None of you. We can never hope to defeat them alone. We need allies, powerful allies. I know it's a risk. But I have to take it."
A wildling.,We could question her.
I serve the Lord of Light. I do what he commands.,How do you know what he commands?
"She doesn't like your queen, does she?",Sansa thinks she's smarter than everyone.
What does the Warden of the North say about it?,We need every man we can get.
She wants to attack now.,Daybreak at the earliest.
"I heard him say 5,000 once when he was talking about Stannis's attack.",How many do you have?
and VARYS are seated at the painted table. TYRION and JORAH stand near the queen. DAVOS and JON SNOW are standing on the other end of the table. JON is holding a raven scroll and reading it.,I thought Arya was dead. I thought Bran was dead.
Shh. Don't you worry yourself about all that. You just do what needs to be done.,Bring it through! And again.
"They were married in secret. After Rhaegar fell on the Trident, she had a son. Robert would have murdered the baby if he ever found out, and Lyanna knew it. So the last thing she did, as she bled to death on her birthing bed, was give the boy to her brother, Ned Stark, to raise as his bastard.",My name. My real name is Aegon Targaryen.
There!,Get off!
"Safe travels, Lord Commander.","Thank you, Sam."
stops examining the sword and looks up to JON.,But you are back and it's been in your family for centuries. It's not right for me to have it.
Joffrey never let anyone question his authority. You think he was a good king?,Do you think I'm Joffrey?
You're welcome.,Don't knock it down while I'm gone.
But you'll never make it--,Now!
I serve my queen because I want to serve my queen. Because I believe in her.,And if you wanted to sail home to Naarth tomorrow --
"Plenty of little men tried to put their swords through my heart. And there's plenty of little skeletons buried in the woods. What's your name, boy?",Jon Snow.
Jon Snow.,"No, shh, don't talk."
I'm not a soldier.,Any advice?
"And which one of you was a marksman at ten? Keep practicing, Bran. Go on.","Don't think too much, Bran."
A madman sees what he sees.,What is it?
Grey Worm!,It's over.
And you need to convince the one with the dragons or the one who fucks her brother?,Both.
Have you told her yet?,No.
"You think we're savages because we don't live in stone castles. We can't make steel as good as yours, it's true, but We're free. If someone tried to tell us we couldn't lie down as man and woman, we'd shove a spear up his arse. We don't go serving some shit king who's only king because his father was.","No. No, you serve Mance Rayder, the King beyond the Wall."
You think? You don't know?,"When we went to Castle Black, we took the Kingsroad."
How many men did you bring?,looks around the table.
"People's minds aren't made for problems that large. White Walkers, the Night King, Army of the Dead, it's almost a relief to confront a familiar monster like my sister.",I need to help prepare my people for what's coming. I can't help them from here. I'd like to leave.
"Of course they do. If I was your hand I would have advised against it. General rule of thumb, Stark men don't fare well when they travel south.",True. But I'm not a Stark.
No. But Tormundo s done it half a hundred times. You're afraid.,Aren't you?
Would you have done it?,What?
We can't even guard Mole's Town.,"We can't go after them, you know that. That's what they want."
I spent a lot of time thinking about what as ass I was to you I wish I could change everything,We were children
Without Mance? You're going to kill him?,I'm going to try.
He was a good man. He deserved a better son. Were you with him at the end?,I was a prisoner of the Wildlings. But we avenged him. I want you to know that every mutineer found justice.
You know nothing-,"Six times in the last thousand years, a King has attacked the kingdoms. Six times they failed."
Orell says there are crows patrolling on the Wall. Tell me what you know.,"There are four to a patrol- two builders to check for structural damage, two rangers to watch for enemies."
Is it we already? Have you taken your vows then?,Soon enough.
More than Lord Wibberley.,Not him.
"We'll talk later, Lord Snow.",Everybody knew what this place was and no one told me. No one but you. My father knew and left me to rot here at the Wall all the same.
"Right. Now, don't think this means l approve of this nonsense with you and Alliser Thorne. That's a man's sword. lt'll take a man to wield it.",l'll apologize to Ser Alliser tonight.
It's either me or this cold. And it doesn't appear to be going anywhere.,Will you stop at Winterfell on your way South?
Don't cheer too loud. They still outnumber us a thousand to one.,"Tormund. It's over, let it end."
"So instead of getting naked with a girl, you'd prefer to invade our lands-","Invade your lands? Wildlings raid our lands all the time. Some of them tried to kill my little brother, a crippled boy!"
"My father was Maekar, the first of his name. My brother Aegon reigned after him when l had refused the throne. And he was followed by his son Aerys whom they called the Mad King.",You're Aemon Targaryen.
or he burns.,How much time do I have?
"A bastard, eh? Took you for highborn.",My father was highborn. My mother wasn't.
You can say it if you like. We shouldo ve sealed the tunnel while we had the chance like you suggested.,"It was a difficult decision either way, Ser."
Impossible!,"That's enough. Sam's no different from the rest of us. There was no place for him in the world, so he's come here. We're not going to hurt him in the training yard anymore. Never again, no matter what Thorne says. He's our brother now and we're going to protect him."
So he's your most trusted advisor now? Because he secured 62 men from a ten year old?,Ser Davos is the reason I'm standing here talking to you and he served Stannis for years.
Lady,"If we have the Dothraki ride hard on the kingsroad, they'll arrive at Winterfell within the fortnight."
"You know nothing, Jon Snow.",I do know some things. I know I love you.
No one would find us.,We'd be pretty old.
"If it wasn't heavy it wouldn't stop a sword, now get it up.",Come. Try it again. Drive at me. Keep your shield up. Or I'll ring your head like a bell.
He likes you. Convince him to bend the knee...,Your grace…
So you admit you murdered Qhorin Halfhand?,I didn't murder him.
"Meaning all respect, Ser Crow, Craster beat us and worse. Your brother crows beat us and worse. We'll find our own way.",You want to stay here in Craster's Keep?
Almost.,But you haven't stormed King's Landing. Why not? The only reason I can see is you don't want to kill thousands of innocent people. It's the fastest way to win the war but you won't do it. Which means at the very least you're better than Cersei.
They followed Mance. They won't follow anyone else.,What about you?
No women or children!,"When we had feasts, our family would sit up here… and I'd sit down there."
How many queens are there now?,Two.
Get the men into marching formation. On to Winterfell.,"He raised his hands. And they all stood up at once. Tens of thousands of them, the biggest army in the world."
Perhaps not. Cersei thinks the Army of the Dead is nothing but a story made up by wet nurses to frighten children. What if we prove her wrong?,I don't think she'll come see the dead at my invitation.
And with the things we've seen you don't believe them?,Come with me and I'll share these weapons.
"On your feet. Pick up your sword. Hit him till he finds his feet. It seems they've run short of poachers and thieves down south. Now they send us squealing bloody pigs. Again, harder.",Enough! He yielded.
I did not fight beside you on the field and I will regret that until my dying day. A man can only admit when he was wrong and ask forgiveness.,"There's nothing to forgive, my lord."
You'll want to take your vow before a heart tree as your Uncle did.,"Yes, my lord."
So there's no punishment for treason and no reward for loyalty?,The punishment for treason is death. Smalljon Umber died on the field of battle. Harald Karstark died on the field of battle.
All dwarfs are bastards in their father's eyes. What does that mean?,It's something he said to me the first night we met. You know him better than any of us. What do you think?
They did for me. I was born to rule the Seven Kingdoms. And I will.,You'll be ruling over a graveyard if we don't defeat the Night King.
"Can we not talk about that here? I'm Jon Snow. I've killed dead men and Qhorin Halfhand, but I'm scared of naked girls.",Did I seem scared the other day?
Our enemy doesn't tire.,Doesn't stop. Doesn't feel.
"Come with us when we ride south. . None of us know the castle as well as you do. Its hidden tunnels, its weaknesses, its people. Winterfell was your home once. Don't you want to chase the rats out of it? .",Castle Black is my home now. Night's Watch takes no part in the wars of the Seven Kingdoms.
"I would never ask it of you. You would never agree to it. And if you did, I would trust you even less than I do now. I ask it only of Ned Stark's son. I know Ned Stark's son.",I am true to my word. Or I try to be. That is why I cannot give you what you ask. I cannot serve two queens. And I have already pledged myself to Queen Daenerys of House Targaryen.
"I don't want you to be glad about it. I want you to curse and fight until your heart's done pumping. And know this, boy. Your death will be a gift for them south of the Wall. They'll never know what you've done. They'll never know how you died. They won't even know your damn name. But they'll be alive because some nameless bastard north of the Wall gave his life for theirs. Now, do you understand me?",I do.
Will you start wearing a crown?,"When you question my decisions in front of the other lords and ladies, you undermine me."
"I commanded the City Watch of King's Landing, boy.",And now you're here. You must not have been very good at your job.
l'm really not supposed to say.,And yet you really want to say. You want to say that…
His father's dead. Ramsay killed him. And now he has Rickon.,We don't know that.
I wanted you to see it before we start hacking it to bits.,leads DAENERYS and MISSANDEI into the cave. He lights a brazier and illuminates the Dragonglass along the walls. He continues walking deeper into the cave.
Easy thing to say to a man in chains.,Your people need a leader. And they need to get south of the Wall before it's too late. We don't have much time and they have less. The walkers are coming and they'll hit your people first. I'm not asking you to make peace to save your skin. Make peace to save your people.
"My brother, Rhaegar, everyone told me he was decent and kind. He liked to sing. Gave money to poor children. And he raped her.",He didn't. He loved her.
"Still, that doesn't explain why I need your help.","Because right now you and I and Cersei and everyone else, we're children playing at a game screaming that the rules aren't fair."
We'd be pretty old.,It's cold up here for a southern girl.
How many men remain in Castle Black?,A thousand.
It's time,"If you have any last words, now is the time"
I don't fight for the crows.,We're not here to fight. We're here to talk.
Get in line! Get in line!,Hold the line! Hold the line!
nods.,We could use the help.
All the other wildlings for a hundred leagues have disappeared. Craster's still here. He must be doing something right.,What happens to the boys?
Could be. There are ways to find out.,Where is he?
To...you can't do that. No one gave you any orders.,"Who's left to give orders? The Wildling army is only an army because of Mance. He united a hundred warring tribes. Without Mance they lose their leader. They lose their purpose, they go back to fighting each other, scatter back to their home."
Your father wanted to execute me.,I heard.
"What you did in King's Landing, what you said... You couldo ve lied to Cersei about bending the knee to Daenerys. You risked everything to tell an enemy the truth.",We went down there to make peace. And it seems to me we need to be honest with each other if we're going to fight together.
"Tell your people what happened here. Tell them you live by the grace of Her Majesty. When they come forward with notions of retribution or ideas about returning the slave cities to their former glory, remind the what happened when Daenerys Stormborn and her dragons came to Meereen.",You don't have to be here.
"If we went down to Castle Cerwyn, I know that Lord- -",We fight with the army we have.
A present?,Close the door. This is no toy. Be careful you don't cut yourself.
Most of them are true.,I heard the Halfhand spent half of last winter beyond the Wall.
Was it hard for you to kill the Halfhand?,Yes.
Or maybe one day I'll take you there. After we've taken our land back.,"Ygritte. You won't win. I know your people are brave, no one denies that."
Impossible. You can't get 50 wildlings together before they start killing each other.,"100,000. He's united the Thenns, the Hornfoots, the ice-river clans. He has giants fighting for him."
"If you had asked for my advice earlier, I would have told you not to attack Winterfell until we have a larger force, or is that obvious, too?",When will we have a larger force?! We've pleaded with every house that'll have us! The Blackfish can't help us! We're lucky to have this many men!
So do you have anything reasonable to ask?,What do you mean?
You've got one hand. My money's on the old boy.,Lady Mormont.
"He sees something in you. . Might not be apparent from his tone, but it's the truth. He believes in you.",I'm sorry I disappointed him.
stops smiling and pauses a moment. Then he chuckles.,I grew up on stories about them.
"Well, it was. It wasn't. Anyway, she's much smarter than she lets on.",She's starting to let on.
They followed me because they respected me. Because they believed in me. The moment I kneel for a Southern king that's all gone.,And how many tens of thousands are out there right now? How many women? How many children? And you won't go out and rescue them because why? You're afraid of looking afraid.
My little crow.,I thought we'd lost you.
Did you really think that cunt would fight you man to man?,No. But I wanted to make him angry. I want him coming at us full tilt.
"You've known him for the space of a single conversation, you and your trusted advisors, and you sit around and make your plans on how to defeat a man you don't know. I lived with him. I know the way his mind works. I know how he likes to hurt people. Did it ever once occur to you that I might have some insight?",You're right.
"Hello. Ser Alliser said I'm to be your new watch partner. I should warn you, I don't see all that well.",Come stand by the fire. It's warmer.
"No discipline. No training. Gang of thieves, that's all this is. I commanded the city watch of King's Landing. Those men obeyed orders.",We can't just let them attack the gate!
Pride? Fuck my pride. This isn't about that.,Then bend the knee and save your people.
No! Get back! Get back!,Stay! Stay!
This is how a man ends.,Put him in chains. We'll question him later.
How many men were here?,About three hundred.
You know I'm not going to let Cersei stay on the Iron Throne.,I never expected that you would.
"You're mine as I'm yours. And if we die, we die. But first we'll live.","Yes, first we'll live."
glances back towards the dragons.,"But if you use them to melt castles and burn cities, you're not different. You're just more of the same."
"And I thought that we were done, but he said, ''Turn back around.' I'll tell you what, Jon Snow. Since it's gonna be your word against mine, and since you can't talk about it without blushing, we may as well just-","What, right here in the muck?"
"And I'll be free to kill you. Got no respect, this lot. Got no fathers to slap 'em when they're foul.",What happened to their fathers?
looks around the table.,Not enough.
They think you're some kind of god The man who returned from the dead,I'm not a god
Would you?,So I could tear it off you.
So is there life after death?,Not that I've seen.
"I doubt it. My mother wasn't a great beauty or any other kind of beauty. She was a great warrior, though. She died fighting for your brother, Robb.","I served under your uncle at Castle Black, Lady Lyanna. He was also a great warrior and an honorable man. I was his steward. In fact- -"
"I have known more kings and queens than any man living. I've heard what they say to crowds, and seen what they do in the shadows. I have furthered their designs, however horrible. But what I tell you now is true",She is my queen.
"You liked him? I like you, but if you're playing us false, it won't be hard for me to kill you. I've got wildling blood in my veins. These are my people.",I understand.
